,State,population_2019,increase_18_19,19_pcnt_increase,Postal,population_2014
1,Alabama,4903185.0,3814879.0,77.8,AL,4849377.0
2,Alaska,731545.0,551562.0,75.4,AK,736732.0
3,Arizona,7278717.0,5638481.0,77.5,AZ,6731484.0
4,Arkansas,3017804.0,2317649.0,76.8,AR,2966369.0
5,California,39512223.0,30617582.0,77.5,CA,38802500.0
6,Colorado,5758736.0,4499217.0,78.1,CO,5355866.0
7,Connecticut,3565287.0,2837847.0,79.6,CT,3596677.0
8,Delaware,973764.0,770192.0,79.1,DE,935614.0
9,District of Columbia,705749.0,577581.0,81.8,DC,658893.0
10,Florida,21477737.0,17247808.0,80.3,FL,19893297.0
11,Georgia,10617423.0,8113542.0,76.4,GA,10097343.0
12,Hawaii,1415872.0,1116004.0,78.8,HI,1419561.0
13,Idaho,1787065.0,1338864.0,74.9,ID,1634464.0
14,Illinois,12671821.0,9853946.0,77.8,IL,12880580.0
15,Indiana,6732219.0,5164245.0,76.7,IN,6596855.0
16,Iowa,3155070.0,2428229.0,77.0,IA,3107126.0
17,Kansas,2913314.0,2213064.0,76.0,KS,2904021.0
18,Kentucky,4467673.0,3464802.0,77.6,KY,4413457.0
19,Louisiana,4648794.0,3561164.0,76.6,LA,4649676.0
20,Maine,1344212.0,1095370.0,81.5,ME,1330089.0
21,Maryland,6045680.0,4710993.0,77.9,MD,5976407.0
22,Massachusetts,6892503.0,5539703.0,80.4,MA,6745408.0
23,Michigan,9986857.0,7842924.0,78.5,MI,9909877.0
24,Minnesota,5639632.0,4336475.0,76.9,MN,5457173.0
25,Mississippi,2976149.0,2277566.0,76.5,MS,2994079.0
26,Missouri,6137428.0,4766843.0,77.7,MO,6063589.0
27,Montana,1068778.0,840190.0,78.6,MT,1023579.0
28,Nebraska,1934408.0,1458334.0,75.4,NE,1881503.0
29,Nevada,3080156.0,2387517.0,77.5,NV,2839098.0
30,New Hampshire,1359711.0,1104458.0,81.2,NH,1326813.0
31,New Jersey,8882190.0,6943612.0,78.2,NJ,8938175.0
32,New Mexico,2096829.0,1620991.0,77.3,NM,2085572.0
33,New York,19453561.0,15425262.0,79.3,NY,19746227.0
34,North Carolina,10488084.0,8187369.0,78.1,NC,9943964.0
35,North Dakota,762062.0,581891.0,76.4,ND,739482.0
36,Ohio,11689100.0,9111081.0,77.9,OH,11594163.0
37,Oklahoma,3956971.0,3004733.0,75.9,OK,3878051.0
38,Oregon,4217737.0,3351175.0,79.5,OR,3970239.0
39,Pennsylvania,12801989.0,10167376.0,79.4,PA,12787209.0
40,Rhode Island,1059361.0,854866.0,80.7,RI,1055173.0
41,South Carolina,5148714.0,4037531.0,78.4,SC,4832482.0
42,South Dakota,884659.0,667558.0,75.5,SD,853175.0
43,Tennessee,6829174.0,5319123.0,77.9,TN,6549352.0
44,Texas,28995881.0,21596071.0,74.5,TX,26956958.0
45,Utah,3205958.0,2274774.0,71.0,UT,2942902.0
46,Vermont,623989.0,509984.0,81.7,VT,626562.0
47,Virginia,8535519.0,6674671.0,78.2,VA,8326289.0
48,Washington,7614893.0,5951832.0,78.2,WA,7061530.0
49,West Virginia,1792147.0,1432580.0,79.9,WV,1850326.0
50,Wisconsin,5822434.0,4555837.0,78.2,WI,5757564.0
51,Wyoming,578759.0,445025.0,76.9,WY,584153.0
52,Puerto Rico Commonwealth,3193694.0,2620963.0,82.1,,
